"Id","Name","Description"
"db506228-d27e-4b7d-95e5-295956d6615f","Agent ID Administrator","Manage all aspects of agents in a tenant including identity lifecycle operations for agent blueprints, agent service principals, agent identities, and agentic users."
"adb2368d-a9be-41b5-8667-d96778e081b0","Agent ID Developer","Create an agent blueprint and its service principal in a tenant. User will be added as an owner of the agent blueprint and its service principal."
"6b942400-691f-4bf0-9d12-d8a254a2baf5","Agent Registry Administrator","Manage all aspects of the Agent Registry service in Microsoft Entra ID"
"d2562ede-74db-457e-a7b6-544e236ebb61","AI Administrator","Manage all aspects of Microsoft 365 Copilot and AI-related enterprise services in Microsoft 365."
"1fe13547-53f6-408d-ac04-7f8eed167b38","AI Reader","Read all aspects of Microsoft 365 Copilot and AI-related enterprise services in Microsoft 365."
"9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3","Application Administrator","Can create and manage all aspects of app registrations and enterprise apps."
"cf1c38e5-3621-4004-a7cb-879624dced7c","Application Developer","Can create application registrations independent of the 'Users can register applications' setting."
"9c6df0f2-1e7c-4dc3-b195-66dfbd24aa8f","Attack Payload Author","Can create attack payloads that an administrator can initiate later."
"c430b396-e693-46cc-96f3-db01bf8bb62a","Attack Simulation Administrator","Can create and manage all aspects of attack simulation campaigns."
"58a13ea3-c632-46ae-9ee0-9c0d43cd7f3d","Attribute Assignment Administrator","Assign custom security attribute keys and values to supported Microsoft Entra objects."
"ffd52fa5-98dc-465c-991d-fc073eb59f8f","Attribute Assignment Reader","Read custom security attribute keys and values for supported Microsoft Entra objects."
"8424c6f0-a189-499e-bbd0-26c1753c96d4","Attribute Definition Administrator","Define and manage the definition of custom security attributes."
"1d336d2c-4ae8-42ef-9711-b3604ce3fc2c","Attribute Definition Reader","Read the definition of custom security attributes."
"5b784334-f94b-471a-a387-e7219fc49ca2","Attribute Log Administrator","Read audit logs and configure diagnostic settings for events related to custom security attributes."
"9c99539d-8186-4804-835f-fd51ef9e2dcd","Attribute Log Reader","Read audit logs related to custom security attributes."
"ecb2c6bf-0ab6-418e-bd87-7986f8d63bbe","Attribute Provisioning Administrator","Read and edit the provisioning configuration of all active custom security attributes for an application."
"422218e4-db15-4ef9-bbe0-8afb41546d79","Attribute Provisioning Reader","Read the provisioning configuration of all active custom security attributes for an application."
"c4e39bd9-1100-46d3-8c65-fb160da0071f","Authentication Administrator","Allowed to view, set and reset authentication method information for any non-admin user."
"25a516ed-2fa0-40ea-a2d0-12923a21473a","Authentication Extensibility Administrator","Customize sign in and sign up experiences for users by creating and managing custom authentication extensions."
"0b00bede-4072-4d22-b441-e7df02a1ef63","Authentication Extensibility Password Administrator","Trigger a password submit event for custom authentication."
"0526716b-113d-4c15-b2c8-68e3c22b9f80","Authentication Policy Administrator","Can create and manage the authentication methods policy, tenant-wide MFA settings, password protection policy, and verifiable credentials."
"9f06204d-73c1-4d4c-880a-6edb90606fd8","Azure AD Joined Device Local Administrator","Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices."
"e3973bdf-4987-49ae-837a-ba8e231c7286","Azure DevOps Administrator","Can manage Azure DevOps organization policy and settings."
"7495fdc4-34c4-4d15-a289-98788ce399fd","Azure Information Protection Administrator","Can manage all aspects of the Azure Information Protection product."
"aaf43236-0c0d-4d5f-883a-6955382ac081","B2C IEF Keyset Administrator","Can manage secrets for federation and encryption in the Identity Experience Framework (IEF)."
"3edaf663-341e-4475-9f94-5c398ef6c070","B2C IEF Policy Administrator","Can create and manage trust framework policies in the Identity Experience Framework (IEF)."
"b0f54661-2d74-4c50-afa3-1ec803f12efe","Billing Administrator","Can perform common billing related tasks like updating payment information."
"892c5842-a9a6-463a-8041-72aa08ca3cf6","Cloud App Security Administrator","Can manage all aspects of the Cloud App Security product."
"158c047a-c907-4556-b7ef-446551a6b5f7","Cloud Application Administrator","Can create and manage all aspects of app registrations and enterprise apps except App Proxy."
"7698a772-787b-4ac8-901f-60d6b08affd2","Cloud Device Administrator","Limited access to manage devices in Microsoft Entra ID."
"17315797-102d-40b4-93e0-432062caca18","Compliance Administrator","Can read and manage compliance configuration and reports in Microsoft Entra ID and Microsoft 365."
"e6d1a23a-da11-4be4-9570-befc86d067a7","Compliance Data Administrator","Creates and manages compliance content."
"b1be1c3e-b65d-4f19-8427-f6fa0d97feb9","Conditional Access Administrator","Can manage Conditional Access capabilities."
"fc8ad4e2-40e4-4724-8317-bcda7503ecbf","Customer Delegated Admin Relationship Administrator","Manage all aspects of granular delegated admin privileges (GDAP) relationships in a customer tenant."
"5c4f9dcd-47dc-4cf7-8c9a-9e4207cbfc91","Customer LockBox Access Approver","Can approve Microsoft support requests to access customer organizational data."
"38a96431-2bdf-4b4c-8b6e-5d3d8abac1a4","Desktop Analytics Administrator","Can access and manage Desktop management tools and services."
"9c094953-4995-41c8-84c8-3ebb9b32c93f","Device Join","Device Join"
"2b499bcd-da44-4968-8aec-78e1674fa64d","Device Managers","Deprecated - Do Not Use."
"d405c6df-0af8-4e3b-95e4-4d06e542189e","Device Users","Device Users"
"88d8e3e3-8f55-4a1e-953a-9b9898b8876b","Directory Readers","Can read basic directory information. Commonly used to grant directory read access to applications and guests."
"d29b2b05-8046-44ba-8758-1e26182fcf32","Directory Synchronization Accounts","Only used by Microsoft Entra Connect service."
"9360feb5-f418-4baa-8175-e2a00bac4301","Directory Writers","Can read and write basic directory information. For granting access to applications, not intended for users."
"8329153b-31d0-4727-b945-745eb3bc5f31","Domain Name Administrator","Can manage domain names in cloud and on-premises."
"e93e3737-fa85-474a-aee4-7d3fb86510f3","Dragon Administrator","Manage all aspects of the Microsoft Dragon admin center."
"44367163-eba1-44c3-98af-f5787879f96a","Dynamics 365 Administrator","Can manage all aspects of the Dynamics 365 product."
